,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,InquiriesLast6Months,TotalInquiries,BankcardUtilization,TotalTrades,LoanOriginalAmount,MonthlyLoanPayment,DebtToIncomeRatio,LoanOriginalAmount
222,AA,36,Defaulted,2009-05-20 00:00:00,0.1272,0.1202,0.1202,CA,Pharmacist,Full-time,134.0,True,"$100,000+",True,12083.333333,4.0,18.0,0.36,39.0,25000,830.6,0.15,25000
226,D,36,Completed,2009-07-07 00:00:00,0.11749000000000001,0.1,0.09,NY,Other,Full-time,9.0,True,Not displayed,False,0.083333,5.0,8.0,0.61,43.0,1000,32.27,10.01,1000
241,E,36,Completed,2011-07-08 00:00:00,0.37453000000000003,0.35,0.34,NJ,Administrative Assistant,Full-time,5.0,False,"$25,000-49,999",True,2702.916667,3.0,13.0,0.0,10.0,1100,47.66,0.18,1100
258,D,36,Completed,2011-06-20 00:00:00,0.16460999999999998,0.143,0.133,VA,Administrative Assistant,Full-time,8.0,False,"$1-24,999",True,1500.0,0.0,0.0,0.77,6.0,7000,238.86,0.39,7000
259,C,36,Completed,2008-07-07 00:00:00,0.15650999999999998,0.135,0.125,CO,Sales - Retail,Full-time,3.0,False,"$1-24,999",True,1583.333333,1.0,2.0,0.83,8.0,1000,33.94,0.26,1000
261,A,36,Completed,2008-11-28 00:00:00,0.10336,0.0895,0.0795,OH,Other,Full-time,384.0,True,"$50,000-74,999",True,4833.333333,1.0,9.0,0.48,26.0,6000,190.66,0.19,6000
264,C,36,Completed,2010-10-29 00:00:00,0.1911,0.182,0.172,MN,Food Service Management,Full-time,347.0,False,"$25,000-49,999",True,3333.333333,4.0,14.0,0.44,19.0,2000,72.51,0.13,2000
271,C,36,Completed,2009-01-07 00:00:00,0.24753000000000003,0.24,0.23,MI,Computer Programmer,Full-time,10.0,True,"$50,000-74,999",True,6166.666667,4.0,21.0,0.93,27.0,4000,156.93,0.25,4000
273,HR,36,Completed,2010-03-08 00:00:00,0.30271,0.29,0.27,CA,Other,Full-time,214.0,False,"$25,000-49,999",True,3333.333333,3.0,13.0,0.78,17.0,4600,192.77,0.23,4600
293,C,36,Completed,2010-06-08 00:00:00,0.24753000000000003,0.24,0.23,MI,Clerical,Full-time,3.0,True,"$1-24,999",True,1916.6666670000002,1.0,8.0,0.95,19.0,17000,666.96,0.73,17000
308,D,36,Chargedoff,2009-11-29 00:00:00,0.20735,0.2,0.19,CO,Landscaping,Full-time,85.0,False,"$25,000-49,999",True,2166.666667,2.0,3.0,0.47,21.0,5500,204.4,0.49,5500
314,A,36,Completed,2010-06-24 00:00:00,0.13202,0.125,0.115,CA,Executive,Full-time,20.0,True,"$100,000+",True,10000.0,2.0,10.0,0.63,32.0,25000,836.34,0.2,25000
320,C,36,Defaulted,2010-02-03 00:00:00,0.14942,0.128,0.118,CO,Construction,Full-time,40.0,True,"$25,000-49,999",True,3500.0,1.0,2.0,0.24,22.0,7300,245.26,0.39,7300
324,B,36,Chargedoff,2009-12-05 00:00:00,0.13410999999999998,0.12,0.11,WI,Laborer,Full-time,16.0,False,"$1-24,999",True,1655.833333,0.0,0.0,0.36,2.0,3600,119.57,0.1,3600
338,B,36,Completed,2010-08-07 00:00:00,0.127,0.12,0.1,IL,Tradesman - Carpenter,Full-time,36.0,False,"$25,000-49,999",True,5488.166667,0.0,6.0,0.26,14.0,10000,332.14,0.15,10000
339,E,36,Completed,2010-01-25 00:00:00,0.30168,0.29,0.28,CA,Other,Full-time,83.0,False,"$25,000-49,999",True,2500.0,8.0,29.0,0.94,35.0,5000,209.53,0.54,5000
341,HR,36,Chargedoff,2009-04-18 00:00:00,0.37351999999999996,0.349,0.339,AR,Administrative Assistant,Full-time,13.0,True,"$25,000-49,999",True,3750.0,8.0,13.0,0.96,7.0,2000,90.36,0.13,2000
345,AA,36,Completed,2011-03-06 00:00:00,0.08991,0.0868,0.0868,TX,Other,Full-time,101.0,True,"$50,000-74,999",True,5200.0,1.0,6.0,0.17,20.0,5500,172.31,0.14,5500
346,B,36,Completed,2011-07-22 00:00:00,0.1215,0.1075,0.0975,GA,Retail Management,Full-time,130.0,True,"$50,000-74,999",True,4217.666667,1.0,10.0,0.95,16.0,2000,17.04,0.1,2000
362,B,36,Completed,2011-05-09 00:00:00,0.14974,0.1355,0.1255,GA,Accountant/CPA,Full-time,16.0,True,"$25,000-49,999",True,2363.333333,2.0,13.0,0.88,35.0,10000,287.06,0.37,10000
367,E,36,Completed,2011-04-25 00:00:00,0.30704000000000004,0.2835,0.2735,MI,Sales - Retail,Full-time,13.0,False,"$1-24,999",True,1583.333333,1.0,6.0,1.01,21.0,1545,0.0,0.49,1545
368,C,36,Completed,2007-06-19 00:00:00,0.20735,0.2,0.185,IL,Sales - Retail,Full-time,7.0,False,"$1-24,999",True,1083.333333,4.0,7.0,0.56,7.0,16000,594.62,1.65,16000
369,E,36,Chargedoff,2010-04-09 00:00:00,0.37453000000000003,0.35,0.34,CA,Food Service,Full-time,12.0,False,"$1-24,999",True,1900.0,5.0,11.0,0.86,8.0,1000,45.24,0.34,1000
380,A,36,Completed,2011-04-21 00:00:00,0.13410999999999998,0.12,0.11,MI,Professional,Full-time,7.0,True,"$75,000-99,999",True,6833.333333,1.0,7.0,0.66,33.0,10000,329.89,0.27,10000
383,B,36,Completed,2010-04-17 00:00:00,0.10912999999999999,0.1022,0.0922,NC,Teacher,Full-time,68.0,True,"$50,000-74,999",True,4500.0,0.0,1.0,0.66,22.0,4800,137.61,0.21,4800
384,B,36,Chargedoff,2010-06-16 00:00:00,0.14197,0.1349,0.1249,OH,Tradesman - Plumber,Full-time,96.0,True,"$25,000-49,999",True,3541.666667,0.0,6.0,0.51,15.0,5000,169.65,0.07,5000
399,E,36,Defaulted,2009-12-13 00:00:00,0.25517,0.24,0.22,WA,Administrative Assistant,Full-time,190.0,False,"$25,000-49,999",True,3988.0,3.0,5.0,0.91,21.0,1500,58.85,0.3,1500
400,B,36,Completed,2008-12-31 00:00:00,0.2148,0.2,0.19,DC,Executive,Full-time,50.0,False,"$100,000+",True,8500.0,2.0,4.0,0.5,14.0,15000,557.45,0.1,15000
405,AA,36,Completed,2008-04-08 00:00:00,0.09677999999999999,0.0899,0.0899,MN,Teacher,Full-time,52.0,True,"$25,000-49,999",True,3219.833333,0.0,5.0,0.59,28.0,8000,254.36,0.36,8000
410,D,36,Completed,2010-10-30 00:00:00,0.26761999999999997,0.26,0.25,IL,Other,Full-time,24.0,False,"$1-24,999",True,1333.333333,2.0,2.0,0.97,5.0,7000,282.03,0.29,7000
412,A,36,Completed,2010-12-11 00:00:00,0.13202,0.125,0.115,NJ,Computer Programmer,Full-time,6.0,False,"$100,000+",True,8333.333333,3.0,10.0,0.51,15.0,16000,462.43,0.16,16000
421,E,36,Completed,2009-09-23 00:00:00,0.24264000000000002,0.22,0.21,IL,Other,Full-time,32.0,False,"$50,000-74,999",True,5865.0,6.0,15.0,0.54,34.0,1000,38.19,0.17,1000
423,AA,36,Chargedoff,2009-10-19 00:00:00,0.15934,0.1522,0.1422,CA,Executive,Full-time,24.0,True,"$100,000+",True,10958.333333,1.0,2.0,0.23,28.0,25000,869.33,0.15,25000
427,A,36,Completed,2011-05-13 00:00:00,0.12382,0.1098,0.0998,CA,Student - College Senior,Part-time,75.0,False,"$1-24,999",True,666.666667,0.0,1.0,0.11,13.0,2100,68.73,0.51,2100
443,A,36,Completed,2009-04-12 00:00:00,0.1019,0.095,0.085,CA,Sales - Commission,Full-time,0.0,False,"$25,000-49,999",True,2166.666667,1.0,5.0,0.24,9.0,3750,120.12,0.2,3750
456,A,36,Completed,2007-12-04 00:00:00,0.13694,0.1299,0.1249,FL,Computer Programmer,Full-time,46.0,False,"$50,000-74,999",True,4416.666667,6.0,9.0,0.06,12.0,20000,673.78,0.3,20000
468,C,36,Completed,2010-12-13 00:00:00,0.12562,0.1045,0.0945,CO,Other,Full-time,13.0,False,"$100,000+",True,8416.666667,0.0,1.0,0.55,27.0,4800,155.9,0.09,4800
478,B,36,Chargedoff,2010-12-10 00:00:00,0.1921,0.1775,0.1675,NY,Teacher,Full-time,26.0,False,"$75,000-99,999",True,7666.666667,0.0,4.0,0.75,18.0,20000,720.54,0.26,20000
480,C,36,Completed,2011-04-02 00:00:00,0.37453000000000003,0.35,0.34,CA,Waiter/Waitress,Part-time,61.0,False,"$1-24,999",True,1625.0,3.0,11.0,0.85,30.0,6000,264.92,0.95,6000
482,D,36,Chargedoff,2009-03-07 00:00:00,0.2325,0.21,0.2,OR,Administrative Assistant,Full-time,55.0,False,"$25,000-49,999",True,2666.666667,3.0,14.0,1.34,23.0,1000,37.68,0.23,1000
487,AA,36,Completed,2007-12-24 00:00:00,0.08935,0.0825,0.0775,NY,Analyst,Full-time,12.0,False,"$75,000-99,999",True,8000.0,0.0,0.0,0.01,4.0,5000,157.26,0.02,5000
488,E,36,Chargedoff,2008-11-12 00:00:00,0.24376,0.2211,0.2111,MT,Skilled Labor,Full-time,26.0,False,"$25,000-49,999",True,2083.333333,0.0,3.0,1.09,10.0,2500,95.62,0.22,2500
490,C,36,Defaulted,2011-01-16 00:00:00,0.17322,0.1515,0.1415,IL,Other,Full-time,13.0,False,"$25,000-49,999",True,2500.0,1.0,4.0,0.22,5.0,7000,243.17,0.13,7000
500,C,36,Completed,2010-04-24 00:00:00,0.18725999999999998,0.18,0.17,CA,Other,Retired,53.0,True,"$50,000-74,999",True,4250.0,1.0,7.0,0.74,7.0,2700,33.94,0.06,2700
521,C,36,Completed,2010-07-29 00:00:00,0.1742,0.167,0.157,MI,Doctor,Full-time,162.0,True,"$100,000+",True,30166.666667,1.0,9.0,0.87,61.0,5000,177.52,0.16,5000
526,AA,36,Completed,2010-10-05 00:00:00,0.1265,0.1195,0.1195,TX,Accountant/CPA,Part-time,71.0,False,"$1-24,999",True,792.666667,0.0,2.0,0.42,8.0,5000,165.95,0.69,5000
533,B,36,Completed,2011-05-13 00:00:00,0.15629,0.142,0.132,OR,Engineer - Electrical,Full-time,24.0,True,"$100,000+",True,10500.0,2.0,5.0,0.69,28.0,5000,168.64,0.27,5000
536,C,36,Completed,2008-11-25 00:00:00,0.1973,0.19,0.18,MO,Other,Full-time,10.0,True,"$25,000-49,999",True,3166.666667,0.0,4.0,0.88,7.0,3500,128.3,0.12,3500
538,E,36,Chargedoff,2010-10-19 00:00:00,0.23983000000000002,0.2248,0.2148,OH,Other,Full-time,105.0,True,"$50,000-74,999",True,4583.333333,0.0,14.0,0.97,40.0,2500,96.1,0.56,2500
541,B,36,Completed,2008-08-26 00:00:00,0.18524000000000002,0.1707,0.1607,UT,Other,Full-time,22.0,True,"$50,000-74,999",True,5000.0,9.0,27.0,0.34,36.0,7200,256.95,0.15,7200
549,B,36,Completed,2010-06-23 00:00:00,0.10692,0.1,0.09,OH,Computer Programmer,Full-time,12.0,False,"$25,000-49,999",True,3250.0,1.0,2.0,0.52,7.0,3000,96.8,0.06,3000
555,D,36,Chargedoff,2009-05-16 00:00:00,0.37453000000000003,0.35,0.34,FL,Analyst,Full-time,182.0,True,"$50,000-74,999",True,4419.75,1.0,14.0,0.0,23.0,2800,126.66,0.03,2800
568,B,36,Defaulted,2009-01-29 00:00:00,0.15428,0.14,0.13,VT,Executive,Full-time,148.0,False,"$25,000-49,999",True,2389.833333,0.0,0.0,0.91,8.0,4000,136.71,0.46,4000
576,AA,36,Completed,2007-06-28 00:00:00,0.10505,0.0935,0.0885,NC,Homemaker,Retired,65.0,False,"$1-24,999",False,0.083333,0.0,1.0,0.04,13.0,1500,47.94,10.01,1500
577,A,36,Defaulted,2009-02-28 00:00:00,0.11696,0.11,0.1025,CT,Professional,Full-time,48.0,True,"$100,000+",True,8333.333333,3.0,11.0,0.85,47.0,9000,294.65,0.3,9000
582,D,36,Completed,2011-03-03 00:00:00,0.24218,0.22,0.21,CA,Retail Management,Full-time,43.0,True,"$25,000-49,999",True,2916.666667,19.0,26.0,0.77,21.0,2551,59.96,0.28,2551
589,D,36,Defaulted,2008-04-12 00:00:00,0.19228,0.185,0.16,CA,Professional,Full-time,0.0,False,"$25,000-49,999",True,4000.0,42.0,117.0,0.86,37.0,2550,92.83,0.46,2550
594,AA,36,Completed,2011-03-26 00:00:00,0.10390999999999999,0.097,0.097,MN,Analyst,Self-employed,7.0,True,"$75,000-99,999",True,7000.0,6.0,11.0,0.02,10.0,10000,318.18,0.07,10000
615,D,36,Chargedoff,2009-10-13 00:00:00,0.202,0.1799,0.1699,WA,Truck Driver,Full-time,31.0,False,"$1-24,999",True,2000.0,1.0,1.0,0.21,2.0,3000,108.44,0.15,3000
619,D,36,Completed,2011-08-22 00:00:00,0.37453000000000003,0.35,0.34,NV,Tradesman - Mechanic,Full-time,8.0,False,"$50,000-74,999",True,5250.0,4.0,6.0,0.96,40.0,3000,134.59,0.36,3000
628,B,36,Completed,2011-05-05 00:00:00,0.12270999999999999,0.1087,0.0987,WA,Other,Full-time,20.0,False,"$25,000-49,999",True,3583.333333,1.0,4.0,0.2,20.0,2500,80.62,0.12,2500
631,E,36,Completed,2011-04-03 00:00:00,0.2,0.2,0.19,DC,Other,Full-time,21.0,False,"$25,000-49,999",True,2916.666667,0.0,1.0,0.37,7.0,1500,21.43,0.28,1500
632,B,36,Completed,2010-04-18 00:00:00,0.13705,0.13,0.12,IL,Other,Full-time,15.0,False,"$25,000-49,999",True,3666.666667,1.0,3.0,0.62,11.0,10000,331.09,0.29,10000
644,D,36,Completed,2011-05-29 00:00:00,0.17677,0.155,0.145,NH,Sales - Retail,Part-time,5.0,False,"$1-24,999",True,1333.333333,1.0,3.0,0.0,2.0,1000,34.91,0.12,1000
650,A,36,Completed,2011-06-07 00:00:00,0.10032999999999999,0.0865,0.0765,CA,Computer Programmer,Full-time,62.0,False,"$50,000-74,999",True,5100.0,0.0,0.0,0.36,6.0,3400,107.57,0.05,3400
651,B,36,Completed,2011-06-03 00:00:00,0.18454,0.17,0.16,NJ,Professional,Full-time,15.0,True,"$75,000-99,999",True,8166.666667,2.0,13.0,0.96,50.0,15000,531.34,0.25,15000
652,B,36,Chargedoff,2009-03-18 00:00:00,0.15428,0.14,0.13,GA,Fireman,Full-time,249.0,True,"$50,000-74,999",True,5833.333333,1.0,6.0,0.84,44.0,20000,683.55,0.49,20000
655,B,36,Completed,2010-08-06 00:00:00,0.15713,0.15,0.135,IN,Student - College Graduate Student,Full-time,3.0,False,"$25,000-49,999",True,2426.083333,0.0,1.0,0.5,5.0,18500,630.37,0.37,18500
666,C,36,Completed,2008-08-29 00:00:00,0.20835,0.201,0.181,AL,Other,Full-time,13.0,True,"$25,000-49,999",True,3833.333333,1.0,2.0,0.08,5.0,6000,223.29,0.19,6000
667,B,36,Chargedoff,2009-02-13 00:00:00,0.15161,0.1445,0.1345,CA,Realtor,Full-time,71.0,True,"$100,000+",True,31666.666667,6.0,24.0,0.71,55.0,25000,859.91,0.12,25000
670,C,36,Chargedoff,2009-03-11 00:00:00,0.32378,0.3,0.29,AZ,Accountant/CPA,Full-time,105.0,False,"$25,000-49,999",True,3500.0,0.0,3.0,0.93,10.0,7200,305.65,0.26,7200
679,D,36,Completed,2011-03-04 00:00:00,0.16460999999999998,0.143,0.133,CA,Other,Full-time,12.0,False,"$25,000-49,999",True,2416.666667,1.0,13.0,0.83,3.0,7500,257.43,0.14,7500
702,AA,36,Completed,2011-03-17 00:00:00,0.08182,0.075,0.075,MN,Analyst,Full-time,309.0,True,"$100,000+",True,10833.333333,0.0,1.0,0.13,24.0,9500,293.03,0.07,9500
722,A,36,Defaulted,2010-02-02 00:00:00,0.10582000000000001,0.0989,0.0939,GA,Tradesman - Mechanic,Full-time,84.0,True,"$25,000-49,999",True,2500.0,0.0,1.0,0.42,22.0,4000,128.86,0.22,4000
732,D,36,Defaulted,2009-05-13 00:00:00,0.22995,0.2225,0.2125,ME,Other,Full-time,21.0,False,"$25,000-49,999",True,2833.333333,6.0,26.0,0.22,11.0,4000,0.0,0.27,4000
735,B,36,Completed,2011-06-10 00:00:00,0.14974,0.1355,0.1255,PA,Architect,Full-time,17.0,False,"$25,000-49,999",True,3250.0,0.0,0.0,0.57,19.0,10000,337.77,0.35,10000
739,C,36,Completed,2011-06-13 00:00:00,0.12562,0.1045,0.0945,AL,Other,Full-time,77.0,False,"$25,000-49,999",True,2333.333333,0.0,4.0,0.0,3.0,2000,45.97,0.03,2000
743,C,36,Completed,2010-06-28 00:00:00,0.12562,0.1045,0.0945,VA,Computer Programmer,Full-time,4.0,False,"$50,000-74,999",True,4416.666667,0.0,4.0,0.86,11.0,7400,240.34,0.21,7400
747,D,36,Chargedoff,2009-08-23 00:00:00,0.24753000000000003,0.24,0.225,MO,Tradesman - Plumber,Full-time,112.0,False,"$25,000-49,999",True,2289.583333,11.0,19.0,0.91,15.0,4000,156.93,0.41,4000
755,B,36,Completed,2010-09-19 00:00:00,0.127,0.12,0.11,MT,Other,Full-time,80.0,False,"$50,000-74,999",True,4291.666667,0.0,0.0,0.45,6.0,3500,116.25,0.03,3500
762,B,36,Completed,2010-02-17 00:00:00,0.13209,0.118,0.108,AL,Student - College Senior,Part-time,2.0,False,"$1-24,999",True,1250.0,0.0,2.0,0.11,14.0,3500,115.92,0.3,3500
781,C,36,Completed,2011-04-05 00:00:00,0.15863,0.1371,0.1271,IL,Clerical,Full-time,31.0,False,"$25,000-49,999",True,2211.166667,1.0,2.0,0.0,29.0,1800,33.86,0.24,1800
785,D,36,Chargedoff,2009-10-08 00:00:00,0.37453000000000003,0.35,0.34,NY,Civil Service,Full-time,139.0,False,"$25,000-49,999",True,3333.333333,6.0,15.0,0.87,31.0,3000,135.71,0.05,3000
790,E,36,Completed,2011-05-02 00:00:00,0.07045,0.05,0.04,FL,Teacher,Full-time,32.0,False,"$25,000-49,999",True,3166.666667,3.0,13.0,0.86,38.0,1000,0.0,0.2,1000
795,B,36,Completed,2011-09-16 00:00:00,0.14620999999999998,0.132,0.122,FL,Nurse (RN),Full-time,73.0,True,"$25,000-49,999",True,3433.333333,1.0,8.0,0.29,26.0,10000,337.9,0.36,10000
796,B,36,Completed,2011-03-12 00:00:00,0.12201,0.108,0.098,FL,Other,Full-time,53.0,True,"$75,000-99,999",True,6711.0,1.0,8.0,0.41,21.0,2500,61.21,0.17,2500
807,A,36,Completed,2010-10-26 00:00:00,0.127,0.12,0.115,MI,Nurse's Aide,Full-time,1.0,True,"$25,000-49,999",True,2500.0,1.0,9.0,0.54,27.0,5000,166.07,0.33,5000
819,D,36,Chargedoff,2009-08-03 00:00:00,0.26752,0.2599,0.2399,MN,Truck Driver,Full-time,45.0,False,"$25,000-49,999",True,3333.333333,1.0,6.0,0.72,29.0,3000,120.86,0.6,3000
821,A,36,Completed,2008-09-09 00:00:00,0.10032999999999999,0.0865,0.0765,CO,Pilot - Private/Commercial,Full-time,41.0,True,"$75,000-99,999",True,6250.0,3.0,3.0,0.87,26.0,4500,142.37,0.24,4500
824,B,36,Chargedoff,2011-02-06 00:00:00,0.18725999999999998,0.18,0.17,AZ,Executive,Full-time,10.0,False,"$75,000-99,999",True,7916.666667,0.0,3.0,0.15,18.0,25000,903.81,0.24,25000
826,B,36,Completed,2008-09-19 00:00:00,0.15428,0.14,0.13,WA,Other,Full-time,20.0,False,"$25,000-49,999",True,3750.0,0.0,4.0,0.71,22.0,10000,341.78,0.49,10000
827,B,36,Completed,2010-09-28 00:00:00,0.18725999999999998,0.18,0.17,MN,Other,Part-time,43.0,True,"$1-24,999",True,1437.0,5.0,14.0,0.0,16.0,4600,166.3,0.36,4600
830,AA,36,Completed,2009-04-10 00:00:00,0.08985,0.083,0.083,VA,Executive,Full-time,73.0,True,"$100,000+",True,15000.0,2.0,6.0,0.05,38.0,4900,154.23,0.11,4900
835,C,36,Defaulted,2008-04-09 00:00:00,0.22050999999999998,0.2131,0.2031,CA,Nurse (LPN),Full-time,9.0,True,"$50,000-74,999",True,4166.666667,1.0,14.0,0.02,12.0,10000,378.34,0.2,10000
859,C,36,Defaulted,2010-08-04 00:00:00,0.17018,0.1485,0.1385,VA,Executive,Full-time,48.0,False,"$100,000+",True,9166.666667,2.0,3.0,0.85,10.0,7000,242.14,0.17,7000
862,C,36,Completed,2009-10-27 00:00:00,0.19906,0.177,0.167,RI,Other,Full-time,31.0,False,"$1-24,999",True,1590.0,0.0,2.0,0.63,6.0,7500,270.02,0.32,7500
865,AA,36,Completed,2009-10-05 00:00:00,0.07981,0.073,0.073,NY,Computer Programmer,Full-time,45.0,False,"$100,000+",True,11666.666667,0.0,0.0,0.08,11.0,2690,83.43,0.02,2690
868,B,36,Completed,2011-08-20 00:00:00,0.13588,0.1182,0.1082,IN,Other,Full-time,36.0,True,"$1-24,999",True,1500.0,1.0,2.0,0.69,26.0,1000,33.13,0.48,1000
873,HR,36,Completed,2011-02-15 00:00:00,0.32358000000000003,0.2998,0.2898,UT,Tradesman - Mechanic,Full-time,16.0,False,"$25,000-49,999",True,2333.333333,1.0,7.0,0.0,7.0,3000,102.89,0.18,3000
880,D,36,Completed,2011-06-28 00:00:00,0.22236999999999998,0.2,0.19,WA,Fireman,Full-time,140.0,False,"$50,000-74,999",True,5416.666667,2.0,4.0,0.61,10.0,1000,0.0,0.14,1000
897,D,36,Completed,2011-06-03 00:00:00,0.16460999999999998,0.143,0.133,DC,Other,Full-time,224.0,False,"$25,000-49,999",True,3500.0,0.0,1.0,1.02,10.0,7500,256.26,0.22,7500
902,C,36,Chargedoff,2009-07-01 00:00:00,0.37453000000000003,0.35,0.34,MO,Civil Service,Full-time,122.0,True,"$50,000-74,999",True,4166.666667,2.0,8.0,0.99,31.0,5000,226.18,0.24,5000
916,AA,36,Completed,2008-10-01 00:00:00,0.07032000000000001,0.059,0.049,PA,Nurse (RN),Full-time,97.0,True,"$100,000+",True,9166.666667,0.0,2.0,0.1,29.0,1500,45.56,0.16,1500
922,B,36,Completed,2011-06-12 00:00:00,0.11142,0.0975,0.0875,MN,Other,Full-time,42.0,False,"$50,000-74,999",True,4233.333333,0.0,0.0,0.0,5.0,2000,64.3,0.06,2000
927,A,36,Completed,2010-04-06 00:00:00,0.10739000000000001,0.0935,0.0835,PA,Other,Retired,50.0,True,"$25,000-49,999",True,2416.666667,1.0,11.0,0.25,66.0,3000,95.89,0.43,3000
